Date,SMB,HML,RF
192607,-2.56,-2.43,0.22
192608,-1.17,3.82,0.25
192609,-1.4,0.13,0.23
192610,-0.09,0.7,0.32
192611,-0.1,-0.51,0.31
192612,-0.03,-0.05,0.28
192701,-0.37,4.54,0.25
192702,0.04,2.94,0.26
192703,-1.65,-2.61,0.3
192704,0.3,0.81,0.25
192705,1.53,4.73,0.3
192706,0.59,-1.73,0.26
192707,-3.25,-1.14,0.3
192708,-0.69,-3.74,0.28
192709,-3.63,-0.63,0.21
192710,2.12,-4.33,0.25
192711,2.72,-0.27,0.21
192712,0.97,-1.13,0.22
192801,4.26,-0.75,0.25
192802,-2.06,-0.65,0.33
192803,-0.26,-1.22,0.29
192804,3.98,3.44,0.22
192805,2.85,-3.27,0.32
192806,-3.52,-0.03,0.31
192807,-1.32,-0.5,0.32
192808,-2.06,-2.15,0.32
192809,2.41,0.86,0.27
192810,2.22,-2.16,0.41
192811,-1.78,2.7,0.38
192812,-0.86,-0.65,0.06
192901,-3.56,-1.24,0.34
192902,-0.38,1.66,0.36
192903,-4.71,1.58,0.34
192904,-0.97,0.59,0.36
192905,-5.37,-1.42,0.44
192906,-2.17,-2.79,0.52
192907,-3.88,2.71,0.33
192908,-9.59,0.13,0.4
192909,1.19,-0.65,0.35
192910,-4.01,7.78,0.46
192911,-1.72,5.05,0.37
192912,-4.5,-0.54,0.37
193001,3.55,-0.96,0.14
193002,0.19,0.2,0.3
193003,3.41,0.33,0.35
193004,-0.35,-0.35,0.21
193005,-2.01,-0.73,0.26
193006,-3.38,2.33,0.27
193007,-0.28,-1.75,0.2
193008,-2.1,-0.61,0.09
193009,-2.21,-4.96,0.22
193010,-0.12,-1.38,0.09
193011,2.23,-3.66,0.13
193012,-4.6,-5.25,0.14
193101,3.45,7.12,0.15
193102,3.59,1.92,0.04
193103,2.98,-3.44,0.13
193104,-4.45,-3.82,0.08
193105,5.35,-6.57,0.09
193106,-5.32,11.29,0.08
193107,1.42,-2.11,0.06
193108,-1.95,-1.47,0.03
193109,0.54,-6.77,0.03
193110,-1.87,1.7,0.1
193111,4.31,-5.04,0.17
193112,-0.55,-8.85,0.12
193201,3.93,9.03,0.23
193202,-2.78,-1.46,0.23
193203,2.27,-2.32,0.16
193204,1.45,1.43,0.11
193205,3.91,-2.98,0.06
193206,0.33,5.3,0.02
193207,-4.59,35.61,0.03
193208,13.41,34.24,0.03
193209,-2.08,-7.36,0.03
193210,-2.56,-10.33,0.02
193211,2,-13.11,0.02
193212,-8.64,-7.72,0.01
193301,0.63,6.36,0.01
193302,-2.58,-2.95,-0.03
193303,3.79,7.54,0.04
193304,3.07,19.65,0.1
193305,36.56,19.19,0.04
193306,8.42,-1.78,0.02
193307,-1.05,3.27,0.02
193308,-5.39,3,0.03
193309,-0.4,-11.74,0.02
193310,-0.2,-8.57,0.01
193311,-6.47,2.32,0.02
193312,0.63,-1.56,0.02
193401,12.69,15.59,0.05
193402,5.1,2,0.02
193403,2.51,-2.7,0.02
193404,2.73,-3.73,0.01
193405,-0.29,-5.89,0.01
193406,-2.23,-2.96,0.01
193407,-6.95,-10.7,0.01
193408,5.37,0.09,0.01
193409,-1.52,-1.2,0.01
193410,1.24,-5.08,0.01
193411,6.48,-2.15,0.01
193412,3.06,-3.14,0.01
193501,1.07,-1.9,0.01
193502,0.37,-7.44,0.02
193503,-3.59,-5.12,0.01
193504,-1.47,4.47,0.01
193505,-3.34,2.65,0.01
193506,-2.57,-1.69,0.01
193507,1.88,6.93,0.01
193508,6.2,6.08,0.01
193509,1.53,-4.07,0.01
193510,2.72,-2.37,0.01
193511,4.54,12.06,0.02
193512,0.17,0.95,0.01
193601,5.23,10.34,0.01
193602,0.95,4.51,0.01
193603,0.69,-1.44,0.02
193604,-6.06,-2.15,0.02
193605,0.91,2.61,0.02
193606,-3.2,-1.2,0.03
193607,1,2.4,0.01
193608,0.6,3.82,0.02
193609,3.08,0.9,0.01
193610,-2.43,2.47,0.02
193611,8.77,-1.21,0.01
193612,3.96,4.3,0
193701,4.34,2.61,0.01
193702,1.05,4.83,0.02
193703,-1.69,6.5,0.01
193704,-3.83,-3.66,0.03
193705,-0.68,-3.48,0.06
193706,-3.76,-3.33,0.03
193707,0.89,0.81,0.03
193708,0.44,-2.25,0.02
193709,-6.98,-4.57,0.04
193710,0.41,-1.55,0.02
193711,-3.6,0.15,0.02
193712,-7.74,-0.4,0
193801,4.84,-1.61,0
193802,0.4,-2.02,0
193803,-4.34,-3.54,-0.01
193804,6.46,0.23,0.01
193805,-2.51,-0.27,0
193806,4.3,0.32,0
193807,6.64,2.2,-0.01
193808,-2.45,-4.72,0
193809,-2.73,-1.62,0.02
193810,5.81,5.03,0.01
193811,-2.57,-1.22,-0.06
193812,-1.82,0.53,0
193901,-1.55,-3.94,-0.01
193902,0.63,2.95,0.01
193903,-4.75,-8.31,-0.01
193904,1.67,-0.3,0
193905,2.8,0.49,0.01
193906,-1.01,-5.42,0.01
193907,4.32,-0.03,0
193908,-4.61,-2.42,-0.01
193909,20.24,22.22,0.01
193910,-0.01,-4.89,0
193911,-5.07,-6.46,0
193912,0.79,-4.06,0
194001,0.21,-0.81,0
194002,2.51,-0.33,0
194003,1.25,-1.27,0
194004,3.92,-0.13,0
194005,-6.66,-3.69,-0.02
194006,-2.13,4.62,0
194007,1.01,-0.74,0.01
194008,-0.11,0.56,-0.01
194009,3.22,-1.13,0
194010,0.28,4.64,0
194011,1.94,0.12,0
194012,-2.15,-0.89,0
194101,1,3.83,-0.01
194102,-1.56,0.89,-0.01
194103,0.1,3.04,0.01
194104,-1.68,3.41,-0.01
194105,-0.65,0.6,0
194106,1.32,0.59,0
194107,5.71,7.25,0.03
194108,-0.42,-1.1,0.01
