Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,SMB,HML,Mkt-RF
199901,7.7747,6.2155,4.5265,4.1364,4.1904,6.1976,1.2818,-1.91,-2.8424,0.9957,5.0723,0.5408,-1.7289,-2.1216,-1.3263,1.7078,-3.5139,-1.4837,-3.6945,-2.2996,5.9954,1.4096,2.0918,1.7504,-0.2376,0.76,-4.6,3.5
199902,-7.6765,-8.2803,-6.1662,-5.5277,-5.8106,-9.2087,-9.6429,-7.4256,-7.8588,-10.6177,-8.8871,-8.7963,-6.3184,-5.9904,-6.5517,-4.8418,-4.5968,-3.5514,-4.3964,-1.6091,-4.6568,-0.7938,0.0908,-0.9056,-1.2177,-6.09,1.92,-4.08
199903,-2.2424,-7.0027,-1.3659,-4.0571,-3.0261,0.3645,0.8763,0.1323,0.0347,-3.6729,5.2463,1.9965,2.1935,-0.4262,-0.1376,3.1952,3.9405,1.8555,0.5631,-0.4156,4.4262,3.0608,4.5264,3.4402,2.0625,-3.79,-2.74,3.45
199904,7.4924,9.5564,11.2248,11.8186,8.7538,10.7835,10.5542,7.1653,8.2911,7.3661,7.6638,12.8162,8.9354,11.0306,8.7451,6.1303,11.6142,7.6292,11.7348,8.8967,0.752,8.6999,7.4365,5.9041,2.2409,3.91,2.46,4.33
199905,1.9602,3.6074,2.1327,2.1749,4.1747,1.0744,0.4431,2.7517,4.5425,3.7926,-0.5881,0.0094,0.649,1.9722,2.4018,2.6413,-0.6564,1.8666,2.1514,1.0197,-3.2029,-1.5209,-2.0348,-0.7307,2.9241,3.34,2.35,-2.46
199906,7.0288,8.0966,8.908,5.4765,6.1495,8.4418,7.3596,6.9135,4.4674,6.941,4.7442,4.5446,2.8662,1.4002,7.1522,7.6168,7.9173,2.7171,4.0319,3.9319,7.0233,2.999,2.7965,0.0226,0.0356,3.09,-3.19,4.77
199907,1.0801,2.3552,1.5854,1.3527,1.6319,-1.6013,-1.1821,-1.1555,-1.9004,-3.8173,-2.5304,-2.0831,-2.4416,-1.4525,-1.6906,-2.7421,-1.7689,-0.8872,-1.7484,-1.6829,-2.8822,-4.2626,-5.0928,-2.7091,-8.0751,2.6,-0.44,-3.49
199908,-3.4738,-1.7239,-1.8519,-1.6529,-3.653,-3.278,-4.0534,-4.8079,-2.7445,-4.4135,-1.6873,-5.6561,-3.9497,-3.6987,-1.4236,-1.6529,-4.7772,-2.6633,-2.6416,-6.7599,0.5961,-2.3872,-3.314,-4.3184,-1.1831,-0.94,-1.87,-1.38
199909,1.7952,-0.3572,-1.0309,-2.1549,-3.9058,-0.0037,1.5819,-0.8831,-2.0226,-1.8814,3.2826,0.8946,-2.2507,-3.231,-1.84,1.5844,-3.8156,-2.9891,-4.6241,-1.6235,-1.9553,-3.4275,-6.4783,-9.6006,-8.1025,3.41,-3.5,-2.79
199910,-0.3935,-0.2108,-0.6653,-0.9204,-2.6411,2.8976,-0.3597,-1.2604,-0.9189,-5.2035,2.7121,0.6082,-1.0835,-1.4947,0.5888,7.9112,1.1409,2.2701,4.2117,4.842,6.3063,10.3724,8.0585,4.6199,5.2976,-6.64,-3.37,6.12
199911,19.5281,12.9666,9.7274,8.0396,6.5378,12.0975,9.6434,4.5788,3.2357,3.1226,11.3876,7.7067,-1.0169,-0.1364,-0.1586,11.7229,-0.2643,-1.5053,0.6535,4.632,4.1159,0.1238,-3.31,-5.675,-1.2224,7.2,-6.11,3.37
199912,24.8147,26.3359,8.2137,12.2543,7.4816,17.1038,12.306,4.6736,4.1638,6.7166,15.6261,10.9413,0.3519,4.2409,2.9295,21.2302,5.2093,0.7175,6.9891,1.5566,7.7813,4.6248,-0.7188,0.3588,0.2461,7.02,-8.32,7.72
