Date,Mkt-RF,SMB,HML,RF
199901,3.5,0.76,-4.6,0.35
199902,-4.08,-6.09,1.92,0.35
199903,3.45,-3.79,-2.74,0.43
199904,4.33,3.91,2.46,0.37
199905,-2.46,3.34,2.35,0.34
199906,4.77,3.09,-3.19,0.4
199907,-3.49,2.6,-0.44,0.38
199908,-1.38,-0.94,-1.87,0.39
199909,-2.79,3.41,-3.5,0.39
199910,6.12,-6.64,-3.37,0.39
199911,3.37,7.2,-6.11,0.36
199912,7.72,7.02,-8.32,0.44
200001,-4.74,5.79,-1.91,0.41
200002,2.45,21.42,-9.7,0.43
200003,5.2,-17.23,8.17,0.47
200004,-6.4,-6.68,7.26,0.46
200005,-4.42,-6.09,4.81,0.5
200006,4.64,12.85,-8.43,0.4
200007,-2.51,-3.06,8.3,0.48
200008,7.03,-0.62,-1.38,0.5
200009,-5.45,-1.82,7.17,0.51
200010,-2.76,-3.87,5.7,0.56
200011,-10.72,-3.43,12.32,0.51
200012,1.19,0.72,7.61,0.5
200101,3.13,6.69,-5.09,0.54
200102,-10.05,-0.79,12.48,0.38
200103,-7.26,0.24,6.42,0.42
200104,7.94,0.55,-4.68,0.39
200105,0.72,2.49,3.38,0.32
200106,-1.94,6.24,-1.13,0.28
200107,-2.13,-4.19,5.21,0.3
200108,-6.46,2.48,2.3,0.31
200109,-9.25,-6.23,1.45,0.28
200110,2.46,7.49,-7.66,0.22
200111,7.54,-0.47,2.22,0.17
200112,1.6,4.73,0.85,0.15
200201,-1.44,1.19,3.44,0.14
200202,-2.29,-1,2.16,0.13
200203,4.24,4.21,1.06,0.13
200204,-5.2,5.96,3.88,0.15
200205,-1.38,-3.21,1.53,0.14
200206,-7.21,4.29,-0.03,0.13
200207,-8.18,-5.28,-3.85,0.15
200208,0.5,-2.86,3.29,0.14
200209,-10.35,2.4,1.47,0.14
200210,7.84,-3.4,-3.94,0.14
200211,5.96,3.19,-1.21,0.12
200212,-5.76,0.09,2.14,0.11
200301,-2.57,1.35,-0.81,0.1
200302,-1.88,-0.45,-1.38,0.09
200303,1.09,1.03,-1.91,0.1
200304,8.22,0.66,1.17,0.1
200305,6.05,4.74,0.5,0.09
200306,1.42,1.77,0.15,0.1
200307,2.35,5.05,-1.24,0.07
200308,2.34,2.59,1.54,0.07
200309,-1.24,0.8,0.15,0.08
200310,6.08,2.69,1.97,0.07
200311,1.35,2.07,1.78,0.07
200312,4.29,-2.68,1.61,0.08
200401,2.15,2.55,2.48,0.07
200402,1.4,-1.58,0.91,0.06
200403,-1.32,1.72,0.28,0.09
200404,-1.83,-1.68,-3.09,0.08
200405,1.17,-0.2,-0.24,0.06
200406,1.86,2.26,1.19,0.08
200407,-4.06,-3.81,3.23,0.1
200408,0.08,-1.49,1,0.11
200409,1.6,3.02,-0.01,0.11
200410,1.43,0.15,-0.22,0.11
200411,4.54,3.74,1.42,0.15
200412,3.43,-0.03,-0.22,0.16
200501,-2.76,-1.72,2.06,0.16
200502,1.89,-0.57,1.53,0.16
200503,-1.97,-1.4,2.04,0.21
200504,-2.61,-3.93,0.06,0.21
200505,3.65,2.89,-0.64,0.24
200506,0.57,2.59,2.82,0.23
200507,3.92,2.9,-0.78,0.24
200508,-1.22,-0.98,1.32,0.3
200509,0.49,-0.66,0.72,0.29
200510,-2.02,-1.25,0.43,0.27
200511,3.61,1,-1.18,0.31
200512,-0.25,-0.42,0.2,0.32
200601,3.04,5.39,1.08,0.35
200602,-0.3,-0.38,-0.35,0.34
200603,1.46,3.45,0.59,0.37
200604,0.73,-1.42,2.34,0.36
200605,-3.57,-2.96,2.42,0.43
200606,-0.35,-0.39,0.85,0.4
200607,-0.78,-3.98,2.62,0.4
200608,2.03,1.03,-2.06,0.42
200609,1.84,-1.36,0.08,0.41
200610,3.23,1.75,-0.3,0.41
200611,1.71,0.7,0.14,0.42
200612,0.87,-1.15,2.73,0.4
200701,1.4,0.13,-0.69,0.44
200702,-1.96,1.18,-0.13,0.38
200703,0.68,0.16,-0.96,0.43
200704,3.49,-2.15,-1.46,0.44
200705,3.24,0.24,-0.65,0.41
200706,-1.96,0.76,-1.07,0.4
200707,-3.73,-2.6,-3.72,0.4
200708,0.92,-0.13,-1.86,0.42
200709,3.22,-2.22,-2.23,0.32
200710,1.8,0.13,-3.05,0.32
200711,-4.83,-2.92,-0.95,0.34
200712,-0.87,0.12,-0.54,0.27
200801,-6.36,-1.04,3.98,0.21
200802,-3.09,-0.43,-0.84,0.13
200803,-0.93,0.71,0.3,0.17
200804,4.6,-1.65,-1.04,0.18
200805,1.86,3,-1.49,0.18
200806,-8.44,1.2,-2.67,0.17
200807,-0.77,2.61,5.42,0.15
200808,1.53,3.6,1.59,0.13
200809,-9.24,-1.23,5.92,0.15
200810,-17.23,-2.6,-2.3,0.08
200811,-7.86,-2.85,-6.31,0.03
200812,1.74,3.46,0.15,0
200901,-8.12,0.08,-11.29,0
200902,-10.1,0.05,-6.95,0.01
200903,8.95,0.04,3.48,0.02
200904,10.18,5.39,5.36,0.01
200905,5.21,-2.52,0.27,0
200906,0.43,2.63,-2.73,0.01
200907,7.72,1.87,4.84,0.01
200908,3.33,-1.08,7.63,0.01
200909,4.08,2.43,1.04,0.01
200910,-2.59,-4.34,-4.2,0
200911,5.56,-2.39,-0.34,0
200912,2.75,6.04,-0.17,0.01
201001,-3.36,0.4,0.43,0
201002,3.4,1.19,3.23,0
201003,6.31,1.48,2.21,0.01
201004,2,4.87,2.89,0.01
201005,-7.89,0.09,-2.44,0.01
201006,-5.57,-1.82,-4.7,0.01
201007,6.93,0.22,-0.33,0.01
201008,-4.77,-2.98,-1.93,0.01
201009,9.54,3.97,-3.18,0.01
201010,3.88,1.19,-2.51,0.01
201011,0.6,3.74,-0.92,0.01
201012,6.82,0.69,3.76,0.01
201101,1.99,-2.45,0.75,0.01
201102,3.49,1.53,1.27,0.01
201103,0.46,2.56,-1.85,0.01
201104,2.9,-0.33,-2.49,0
201105,-1.27,-0.67,-2,0
201106,-1.75,-0.15,-0.39,0
201107,-2.35,-1.27,-0.9,0
201108,-5.99,-3.05,-2.36,0.01
201109,-7.59,-3.31,-1.72,0
201110,11.35,3.28,0.1,0
201111,-0.28,-0.16,-0.45,0
201112,0.74,-0.59,1.63,0
201201,5.05,2.03,-0.97,0
201202,4.42,-1.85,0.43,0
201203,3.11,-0.65,1.14,0
201204,-0.85,-0.41,-0.78,0
201205,-6.19,0.07,-1.06,0.01
201206,3.89,0.67,0.62,0
201207,0.79,-2.77,-0.02,0
201208,2.55,0.48,1.3,0.01
201209,2.73,0.51,1.6,0.01
201210,-1.76,-1.16,3.59,0.01
201211,0.78,0.64,-0.84,0.01
201212,1.18,1.5,3.51,0.01
201301,5.57,0.33,0.96,0
201302,1.29,-0.28,0.11,0
201303,4.03,0.81,-0.19,0
201304,1.55,-2.36,0.45,0
201305,2.8,1.73,2.63,0
201306,-1.2,1.33,0.03,0
201307,5.65,1.86,0.57,0
201308,-2.71,0.28,-2.69,0
201309,3.77,2.91,-1.22,0
201310,4.18,-1.56,1.25,0
201311,3.13,1.29,0.32,0
201312,2.81,-0.45,-0.02,0
201401,-3.32,0.9,-2.07,0
201402,4.65,0.37,-0.31,0
201403,0.43,-1.85,4.93,0
201404,-0.19,-4.2,1.17,0
201405,2.06,-1.88,-0.13,0
201406,2.61,3.08,-0.7,0
201407,-2.04,-4.29,0.03,0
201408,4.24,0.4,-0.45,0
201409,-1.97,-3.72,-1.34,0
201410,2.52,4.2,-1.81,0
201411,2.55,-2.06,-3.09,0
201412,-0.06,2.49,2.27,0
201501,-3.11,-0.55,-3.58,0
201502,6.13,0.61,-1.86,0
201503,-1.12,3.04,-0.37,0
201504,0.59,-3.03,1.82,0
201505,1.36,0.92,-1.14,0
201506,-1.53,2.9,-0.79,0
201507,1.54,-4.19,-4.13,0
201508,-6.04,0.33,2.77,0
201509,-3.07,-2.63,0.56,0
201510,7.75,-1.87,-0.46,0
201511,0.56,3.59,-0.42,0
201512,-2.17,-2.82,-2.61,0.01
201601,-5.77,-3.43,2.09,0.01
201602,-0.07,0.71,-0.57,0.02
201603,6.96,0.82,1.19,0.02
201604,0.91,0.74,3.28,0.01
201605,1.78,-0.18,-1.66,0.01
201606,-0.05,0.6,-1.48,0.02
201607,3.95,2.51,-1.27,0.02
201608,0.49,1.18,3.13,0.02
201609,0.25,2.13,-1.23,0.02
201610,-2.02,-4.42,4.12,0.02
201611,4.86,5.67,8.19,0.01
201612,1.81,0.08,3.56,0.03
201701,1.94,-1.14,-2.76,0.04
201702,3.57,-2.02,-1.68,0.04
201703,0.17,1.14,-3.32,0.03
201704,1.09,0.72,-2.1,0.05
201705,1.06,-2.52,-3.78,0.06
201706,0.78,2.23,1.48,0.06
201707,1.87,-1.46,-0.24,0.07
201708,0.16,-1.67,-2.09,0.09
201709,2.51,4.46,3.12,0.09
201710,2.25,-1.93,0.21,0.09
201711,3.12,-0.58,-0.08,0.08
201712,1.06,-1.32,0.05,0.09
201801,5.57,-3.15,-1.33,0.12
201802,-3.65,0.23,-1.07,0.11
201803,-2.35,4.05,-0.23,0.11
201804,0.28,1.14,0.54,0.14
201805,2.65,5.26,-3.18,0.14
201806,0.48,1.15,-2.33,0.14
201807,3.19,-2.22,0.47,0.16
201808,3.44,1.12,-3.99,0.16
201809,0.06,-2.28,-1.69,0.15
201810,-7.68,-4.77,3.44,0.19
201811,1.69,-0.68,0.27,0.18
201812,-9.57,-2.38,-1.86,0.2
201901,8.4,2.9,-0.45,0.21
201902,3.4,2.05,-2.68,0.18
201903,1.1,-3.03,-4.1,0.19
201904,3.97,-1.74,2.14,0.21
201905,-6.94,-1.31,-2.34,0.21
201906,6.93,0.28,-0.72,0.18
201907,1.19,-1.93,0.47,0.19
201908,-2.58,-2.36,-4.76,0.16
201909,1.43,-0.97,6.74,0.18
201910,2.06,0.29,-1.92,0.16
201911,3.87,0.78,-2.01,0.12
201912,2.77,0.73,1.76,0.14
202001,-0.11,-3.1,-6.22,0.13
202002,-8.13,1.07,-3.79,0.12
