%Date	RF	SMB	HML
19260728	0.0022	-0.0249	-0.0304
19260828	0.0025	-0.0133	0.043
19260928	0.0023	-0.0136	0.001
19261028	0.0032	-0.0017	0.0048
19261128	0.0031	-0.0033	-0.0039
19261228	0.0028	0.0001	-0.0005
19270128	0.0025	-0.0021	0.0459
19270228	0.0026	0.0027	0.0308
19270328	0.003	-0.0185	-0.0296
19270428	0.0025	0.0043	0.0108
19270528	0.003	0.0025	0.0275
19270628	0.0026	0.0096	-0.0187
19270728	0.003	-0.0303	-0.0145
19270828	0.0028	-0.0094	-0.032
19270928	0.0021	-0.0305	-0.0086
19271028	0.0025	0.0197	-0.037
19271128	0.0021	0.0223	-0.0013
19271228	0.0022	0.0091	-0.0128
19280128	0.0025	0.0427	-0.0152
19280228	0.0033	-0.02	-0.0076
19280328	0.0029	-0.0027	-0.0145
19280428	0.0022	0.0389	0.0272
19280528	0.0032	0.0269	-0.0322
19280628	0.0031	-0.0366	0.003
19280728	0.0032	-0.0148	-0.0065
19280828	0.0032	-0.0194	-0.0237
19280928	0.0027	0.0195	0.0102
19281028	0.0041	0.0234	-0.0259
19281128	0.0038	-0.0151	0.0282
19281228	0.0006	-0.0108	-0.0001
19290128	0.0034	-0.0313	-0.0186
19290228	0.0036	0.0075	0.0104
19290328	0.0034	-0.0389	0.0065
19290428	0.0036	-0.0086	0.013
19290528	0.0044	-0.0736	0.0105
19290628	0.0052	-0.0169	-0.0285
19290728	0.0033	-0.0402	0.0211
19290828	0.004	-0.093	0.0026
19290928	0.0035	0.0146	-0.0094
19291028	0.0046	-0.0386	0.0904
19291128	0.0037	-0.016	0.0525
19291228	0.0037	-0.0488	-0.0054
19300128	0.0014	0.0426	-0.0314
19300228	0.003	0.004	0.001
19300328	0.0035	0.0411	-0.0052
19300428	0.0021	-0.0112	-0.0217
19300528	0.0026	-0.0159	-0.0179
19300628	0.0027	-0.03	0.026
19300728	0.002	0.0054	-0.0235
19300828	0.0009	-0.0215	-0.0112
19300928	0.0022	-0.0209	-0.0447
19301028	0.0009	-0.0138	-0.0084
19301128	0.0013	0.0226	-0.0275
19301228	0.0014	-0.0506	-0.0529
19310128	0.0015	0.037	0.077
19310228	0.0004	0.0293	0.0248
19310328	0.0013	0.0272	-0.0327
19310428	0.0008	-0.0471	-0.038
19310528	0.0009	0.0565	-0.0634
19310628	0.0008	-0.0497	0.1094
19310728	0.0006	0.0165	-0.0387
19310828	0.0003	-0.0101	-0.0257
19310928	0.0003	-0.0053	-0.0655
19311028	0.001	0	0.0009
19311128	0.0017	0.0455	-0.0533
19311228	0.0012	0.0002	-0.0956
19320128	0.0023	0.0345	0.0989
19320228	0.0023	-0.0159	-0.0364
19320328	0.0016	0.022	-0.0186
19320428	0.0011	0.0147	-0.0112
19320528	0.0006	0.045	-0.0509
19320628	0.0002	-0.0241	0.0817
19320728	0.0003	-0.065	0.3535
19320828	0.0003	0.1944	0.2458
19320928	0.0003	-0.0236	-0.0696
19321028	0.0002	-0.0283	-0.099
19321128	0.0002	-0.0132	0.1205
19321228	0.0001	-0.0988	-0.0689
19330128	0.0001	-0.0021	0.0756
19330228	-0.0003	-0.0131	0.0071
19330328	0.0004	0.0219	0.0252
19330428	0.001	0.044	0.1751
19330528	0.0004	0.3804	0.1479
19330628	0.0002	0.0845	-0.033
19330728	0.0002	-0.0011	0.0081
19330828	0.0003	-0.0546	0.0349
19330928	0.0002	-0.0012	0.1342
19331028	0.0001	-0.0004	-0.0811
19331128	0.0002	-0.0632	0.0128
19331228	0.0002	-0.0022	-0.0167
19340128	0.0005	0.1217	0.1701
19340228	0.0002	0.0519	0.0213
19340328	0.0002	0.0243	-0.0287
19340428	0.0001	0.0294	-0.0483
19340528	0.0001	-0.0004	-0.0745
19340628	0.0001	-0.0256	-0.0233
19340728	0.0001	-0.0632	-0.1148
19340828	0.0001	0.0453	0.0126
19340928	0.0001	-0.0179	-0.0051
19341028	0.0001	0.0166	-0.0401
19341128	0.0001	0.0708	-0.0479
19341228	0.0001	0.0281	-0.0296
