%Date	RF	NoDur	Durbl	Manuf	Enrgy	HiTec	Telcm	Shops	Hlth	Utils	Other
19630728	0.0027	-0.0077	-0.0037	-0.0166	0.0203	-0.0098	-0.005	-0.0121	0.0029	0.0055	-0.0191
19630828	0.0025	0.047	0.0636	0.0593	0.0367	0.0488	0.0403	0.061	0.0932	0.0396	0.0508
19630928	0.0027	-0.0195	-0.0049	-0.0103	-0.0391	-0.0011	0.0208	0.0062	-0.0432	-0.0274	-0.0344
19631028	0.0029	0.0245	0.1048	0.0228	-0.0061	0.0797	0.031	0.0016	0.0314	-0.0096	0.0103
19631128	0.0027	-0.0142	-0.0544	0.0003	-0.0144	-0.0057	0.0389	-0.0151	-0.0192	-0.0129	-0.0015
19631228	0.0029	0.0253	0.003	0.0159	0.0433	0.0285	-0.0044	0.0008	0.0122	0.0211	0.0241
19640128	0.003	0.0043	0.009	0.0237	0.0456	0.0258	0.0305	0.0236	0.0342	0.011	0.0096
19640228	0.0026	0.0162	0.0135	0.0247	0.0084	0.017	-0.0055	0.0151	0.0137	0.0059	0.0501
19640328	0.0031	0.0269	0.0073	0.0338	0.0112	0.0313	-0.0126	0.0237	-0.0224	-0.0104	0.0197
19640428	0.0029	-0.0081	0.0156	-0.0197	0.0376	-0.0386	0.0051	0.0262	-0.0172	0.0075	-0.001
19640528	0.0026	0.0133	0.0127	0.0157	0.019	0.0246	-0.0065	0.0341	0.0027	0.0057	0.0222
19640628	0.003	0.0134	0.0052	0.006	0.0035	0.0015	0.0446	0.035	0.0026	0.019	0.0096
19640728	0.003	0.0143	0.0536	0.0103	0.0303	-0.0214	-0.0229	0.0114	0.0444	0.0461	0.0077
19640828	0.0028	-0.0051	0.0113	-0.0153	-0.0215	-0.0309	-0.0181	-0.0008	-0.0447	-0.0031	-0.0335
19640928	0.0028	0.0147	0.0435	0.0451	0.0279	0.0086	-0.0131	0.03	0.0248	0.0157	0.038
19641028	0.0029	-0.0045	-0.0021	0.0013	0.0275	-0.0129	-0.0117	0.0209	0.0257	0.0066	0.0135
19641128	0.0029	0.0046	-0.014	-0.0087	0.0226	-0.0047	-0.0254	0.0292	0.0187	0.0107	-0.0198
19641228	0.0031	-0.0015	0.0164	-0.0105	-0.0057	-0.0034	0.0283	-0.002	0.0408	0.0018	-0.0197
19650128	0.0028	0.0579	0.0353	0.0512	0.0024	0.0714	-0.0003	0.0296	0.0743	0.0365	0.0434
19650228	0.003	0.0126	-0.0079	0.0225	-0.0366	0.0192	0.0049	0.0129	0.021	0.0016	0.0216
19650328	0.0036	-0.0113	0.0095	-0.0149	-0.0338	-0.0086	-0.0204	-0.0132	-0.0124	-0.0088	-0.0062
19650428	0.0031	0.0394	0.0651	0.0372	0.0053	0.0487	0.0199	0.0634	0.0264	0.0032	0.0198
19650528	0.0031	-0.0114	-0.0362	-0.0089	0.0057	0.0012	0.0249	-0.0015	-0.0158	-0.0126	-0.0177
19650628	0.0035	-0.0554	-0.0714	-0.0657	-0.0233	-0.061	-0.0448	-0.0653	-0.0569	-0.0401	-0.0725
19650728	0.0031	0.0129	0.0196	0.0179	0.0149	0.0327	-0.0068	-0.0159	0.0366	0.0075	0.0282
19650828	0.0033	0.0372	0.031	0.0322	0.0123	0.0554	0.01	0.0202	0.0594	0.0059	0.0465
19650928	0.0031	0.0013	0.0684	0.0356	0.0403	0.0495	0.0079	-0.0101	0.0191	0.0105	0.016
19651028	0.0031	0.0226	0.0583	0.0406	0.0153	0.0489	-0.0258	-0.0006	0.0292	0.0076	0.0389
19651128	0.0035	0.0068	-0.0416	0.0103	0.0038	0.0239	-0.0466	0.0099	0.0343	-0.0135	0.0367
19651228	0.0033	0.0089	0.0112	0.0287	-0.0014	-0.0186	-0.0118	0.0097	0.0352	-0.0065	0.0302
19660128	0.0038	0.0153	0.0017	0.0253	0.0067	0.0097	-0.0167	-0.0428	0.0233	-0.0343	0.0472
